defense,player,times_played,pts_per_min,trb_per_min,ast_per_min,blk_per_min,stl_per_min
Defense_aries-trikala,devyn-marble-1,1.0,0.5862068965517241,0.1724137931034483,0.0,0.0,0.03448275862068965
Defense_aries-trikala,spiros-mourtos-1,2.0,0.1607142857142857,0.17857142857142858,0.05357142857142857,0.0,0.017857142857142856
Defense_aries-trikala,will-cummings-1,2.0,0.4605911330049261,0.07553366174055827,0.17077175697865352,0.0,0.0
Defense_aries-trikala,eric-buckner-1,1.0,0.15,0.4,0.0,0.05,0.0
Defense_aries-trikala,michalis-tsairelis-1,2.0,0.2833333333333333,0.14166666666666666,0.025,0.0,0.025
Defense_aries-trikala,vasilis-xanthopoulos-1,2.0,0.2122762148337596,0.12404092071611253,0.1969309462915601,0.0,0.021739130434782608
Defense_aries-trikala,vassilis-kavvadas-1,2.0,0.7524509803921569,0.1715686274509804,0.0,0.04166666666666666,0.0
Defense_aries-trikala,thodoris-zaras-1,2.0,0.6255411255411256,0.11471861471861472,0.18181818181818185,0.0,0.09090909090909093
Defense_aries-trikala,dimitris-flionis-1,2.0,0.15,0.0,0.05,0.0,0.0
Defense_aries-trikala,vassilis-simtsak-1,2.0,0.09090909090909093,0.43506493506493504,0.07142857142857142,0.0,0.0
Defense_aries-trikala,stelios-poulianitis-1,1.0,0.0,0.0,0.0,0.16666666666666666,0.0
Defense_aries-trikala,shannon-scott-1,2.0,0.17307692307692307,0.1074660633484163,0.15497737556561084,0.0,0.0576923076923077
Defense_aries-trikala,dimitrios-tsaldaris-1,2.0,0.2458333333333333,0.03333333333333333,0.05,0.0,0.0
Defense_aries-trikala,justin-robinson-1,1.0,0.4571428571428571,0.057142857142857134,0.14285714285714285,0.0,0.0
Defense_aries-trikala,christos-tapoutos-1,2.0,0.25806451612903225,0.08064516129032258,0.0,0.0,0.016129032258064516
Defense_aries-trikala,melsahn-basabe-1,1.0,0.44,0.36,0.04,0.08,0.0
Defense_aries-trikala,yiorgos-georgakis-1,1.0,0.6190476190476191,0.19047619047619047,0.0,0.047619047619047616,0.047619047619047616
Defense_aries-trikala,david-doblas-1,2.0,0.5333333333333333,0.18333333333333332,0.03333333333333333,0.0,0.0
Defense_aries-trikala,ioannis-demertzis-1,2.0,0.11014492753623188,0.05507246376811594,0.16521739130434782,0.0,0.043478260869565216
Defense_aries-trikala,triantafyllos-petalotis-1,2.0,0.0,0.0,0.0,0.0,0.0
Defense_aries-trikala,theofilos-rontogiannis-1,1.0,0.0,0.0,0.0,0.0,0.0
Defense_aries-trikala,apollon-tsochlas-1,2.0,0.2569444444444444,0.02083333333333333,0.11805555555555555,0.0,0.04166666666666666
Defense_aries-trikala,darryl-bryant-1,1.0,0.5384615384615384,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464
Defense_aries-trikala,zanis-peiners-1,1.0,0.5588235294117647,0.1176470588235294,0.08823529411764706,0.0,0.05882352941176471
Defense_aries-trikala,keith-clanton-1,2.0,0.5641025641025641,0.24615384615384614,0.06923076923076922,0.055128205128205134,0.07179487179487179
Defense_aries-trikala,linos-chrysikopoulos-1,2.0,0.1875,0.11309523809523807,0.02083333333333333,0.0,0.0
Defense_aries-trikala,jordan-sibert-1,1.0,0.5333333333333333,0.1,0.06666666666666668,0.0,0.06666666666666668
Defense_aries-trikala,andreas-glyniadakis-1,2.0,0.4395604395604396,0.3351648351648352,0.10989010989010987,0.0,0.0
Defense_aries-trikala,antonios-koniaris-1,2.0,0.3060200668896321,0.06020066889632107,0.1254180602006689,0.0,0.038461538461538464
Defense_aries-trikala,brandon-taylor-1,1.0,0.0,0.08333333333333333,0.0,0.0,0.0
Defense_aries-trikala,nenad-miljenovic-1,2.0,0.29914529914529914,0.09401709401709403,0.05555555555555555,0.0,0.027777777777777776
Defense_aries-trikala,dimitris-karamanolis-1,2.0,0.0,0.0,0.0,0.0,0.0
Defense_aries-trikala,nikolaos-kamaras-1,1.0,0.0,0.0,0.0,0.0,0.0
Defense_aries-trikala,ken-brown-1,1.0,0.3142857142857143,0.057142857142857134,0.17142857142857146,0.0,0.057142857142857134
Defense_aries-trikala,kenny-hall-1,1.0,0.27586206896551724,0.2413793103448276,0.06896551724137931,0.0,0.0
Defense_aries-trikala,toddrick-gotcher-1,2.0,0.5103129445234709,0.2667140825035562,0.02667140825035562,0.0,0.040540540540540536
Defense_aries-trikala,andreja-milutinovic-1,2.0,0.5163793103448276,0.15344827586206894,0.025,0.017241379310344827,0.03448275862068965
Defense_aries-trikala,giannis-chatzinikolas-1,2.0,0.0,0.0625,0.03125,0.0,0.03125
Defense_aries-trikala,armands-berkis-1,2.0,0.0,0.0,0.0,0.0,0.0
Defense_aries-trikala,antonios-michaloglou-1,2.0,0.5,0.0,0.0,0.0,0.0
Defense_aries-trikala,alexandros-spyridonidis-1,2.0,0.303030303030303,0.1111111111111111,0.12878787878787878,0.0,0.0505050505050505
Defense_aries-trikala,apostolos-apostolidis-1,2.0,0.0,0.0,0.0,0.0,0.0
Defense_aries-trikala,giorgos-printezis-1,2.0,0.510989010989011,0.4120879120879121,0.18406593406593408,0.0,0.038461538461538464
Defense_aries-trikala,matt-lojeski-1,1.0,0.2352941176470588,0.0,0.1176470588235294,0.0,0.0
Defense_aries-trikala,vangelis-mantzaris-1,2.0,0.3235294117647059,0.029411764705882356,0.05882352941176471,0.0,0.05882352941176471
Defense_aries-trikala,erick-green-1,2.0,0.2556818181818182,0.10795454545454546,0.04166666666666666,0.022727272727272728,0.0
Defense_aries-trikala,vassilis-spanoulis-1,1.0,0.42857142857142855,0.14285714285714285,0.35714285714285715,0.0,0.0
Defense_aries-trikala,kostas-papanikolaou-1,2.0,0.39880952380952384,0.2708333333333333,0.07142857142857142,0.0,0.07142857142857142
Defense_aries-trikala,khem-birch-1,2.0,0.2406417112299465,0.3903743315508021,0.045454545454545456,0.0748663101604278,0.0
Defense_aries-trikala,ioannis-papapetrou-1,2.0,0.2681481481481481,0.22962962962962966,0.0,0.018518518518518517,0.03851851851851852
Defense_aries-trikala,daniel-hackett-1,1.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0
Defense_aries-trikala,dimitris-agravanis-1,1.0,0.6666666666666666,0.5714285714285714,0.0,0.0,0.0
Defense_aries-trikala,nikola-milutinov-1,2.0,0.4553571428571429,0.2767857142857143,0.10267857142857142,0.03571428571428571,0.0
Defense_aries-trikala,vasileios-toliopoulos-1,1.0,0.0,0.0,0.0,0.0,0.0
Defense_aries-trikala,brandon-young-1,1.0,0.3225806451612903,0.16129032258064516,0.2258064516129032,0.0,0.03225806451612903
Defense_aries-trikala,demarius-bolds-1,2.0,0.3400673400673401,0.06397306397306397,0.12794612794612795,0.018518518518518517,0.06397306397306397
Defense_aries-trikala,tyren-johnson-1,1.0,0.7272727272727273,0.18181818181818185,0.13636363636363635,0.13636363636363635,0.13636363636363635
Defense_aries-trikala,jito-kok-1,1.0,0.16666666666666666,0.125,0.0,0.08333333333333333,0.0
Defense_aries-trikala,dionysis-giannakopoulos-1,2.0,0.0,0.208502024291498,0.05263157894736842,0.0,0.09109311740890688
Defense_aries-trikala,ashley-hamilton-1,2.0,0.5208333333333334,0.2083333333333333,0.10416666666666666,0.0,0.05208333333333333
Defense_aries-trikala,christoforos-stefanidis-1,2.0,0.07894736842105263,0.10526315789473684,0.12406015037593986,0.0,0.07142857142857142
Defense_aries-trikala,giannis-athanasoulas-1,2.0,0.3482142857142857,0.15476190476190474,0.04166666666666666,0.0,0.02083333333333333
Defense_aries-trikala,dimitris-kaklamanakis-1,2.0,0.3901515151515152,0.178030303030303,0.0,0.0,0.0
Defense_aries-trikala,michalis-perrakis-1,2.0,0.4375,0.2083333333333333,0.125,0.08333333333333333,0.0
Defense_aries-trikala,ioannis-anagnostakis-1,2.0,0.3333333333333333,0.0,0.0,0.0,0.0
Defense_aries-trikala,kevin-punter-1,2.0,0.6937229437229437,0.06926406926406926,0.09307359307359307,0.0,0.0
Defense_aries-trikala,muhammad-el-amin-1,1.0,0.28125,0.0625,0.1875,0.0625,0.0625
Defense_aries-trikala,martin-pahlmblad-1,2.0,0.2037037037037037,0.07407407407407407,0.06828703703703702,0.0,0.018518518518518517
Defense_aries-trikala,dimitrios-stamatis-1,2.0,0.4768421052631578,0.07263157894736842,0.11894736842105265,0.0,0.04631578947368421
Defense_aries-trikala,alexandros-sigkounas-1,2.0,0.14705882352941174,0.18300653594771246,0.05555555555555555,0.014705882352941175,0.05718954248366012
Defense_aries-trikala,slaven-cupkovic-1,2.0,0.268025078369906,0.06896551724137931,0.045454545454545456,0.03996865203761756,0.022727272727272728
Defense_aries-trikala,jordan-morgan-1,1.0,0.8,0.4666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333
Defense_aries-trikala,stavros-toutziarakis-1,2.0,0.5173913043478261,0.4521739130434783,0.043478260869565216,0.0,0.021739130434782608
Defense_aries-trikala,stauros-schizas-1,1.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
Defense_aries-trikala,thanos-konstantakopoulos-1,2.0,0.0,0.0,0.07142857142857142,0.0,0.0
Defense_aries-trikala,langston-hall-1,2.0,0.17959770114942528,0.11063218390804597,0.16954022988505746,0.0,0.02083333333333333
Defense_aries-trikala,giannis-georgalis-1,2.0,0.17857142857142855,0.10714285714285714,0.07142857142857142,0.0,0.03571428571428571
Defense_aries-trikala,panagiotis-vasilopoulos-1,2.0,0.1835016835016835,0.2702020202020202,0.06397306397306397,0.04124579124579125,0.06397306397306397
Defense_aries-trikala,juvonte-reddic-1,2.0,0.5212609970674487,0.1942815249266862,0.03885630498533725,0.016129032258064516,0.016129032258064516
Defense_aries-trikala,roope-ahonen-1,2.0,0.35625,0.09125,0.07125000000000001,0.0,0.06
Defense_aries-trikala,jesse-chuku-1,2.0,0.2125,0.16875,0.025,0.03125,0.025
Defense_aries-trikala,earl-watson-1,2.0,0.3611111111111111,0.16666666666666666,0.0,0.05555555555555555,0.0
Defense_aries-trikala,alex-aggelakos-1,2.0,0.0,0.0,0.0,0.0,0.0
Defense_aries-trikala,michail-liapis-1,2.0,0.0,0.1,0.0,0.0,0.0
Defense_aries-trikala,konstantinos-papadakis-1,2.0,0.2777777777777778,0.1111111111111111,0.0,0.0,0.0
Defense_aries-trikala,gary-talton-1,2.0,0.47,0.11125,0.1025,0.0,0.02
Defense_aries-trikala,charalampos-giannopoulos-1,2.0,0.289021164021164,0.23743386243386244,0.0734126984126984,0.0,0.0
Defense_aries-trikala,toarlyn-fitzpatrick-1,2.0,0.5486486486486487,0.20054054054054052,0.054054054054054064,0.02,0.013513513513513514
Defense_aries-trikala,robert-arnold-1,2.0,0.4004329004329004,0.13474025974025974,0.030303030303030307,0.0,0.015151515151515154
Defense_aries-trikala,evaldas-zabas-1,1.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.05555555555555555
Defense_aries-trikala,brandon-edwards-1,1.0,0.5555555555555556,0.2777777777777778,0.0,0.0,0.0
Defense_aries-trikala,thomas-kottas-1,2.0,0.0,0.07894736842105263,0.0,0.02631578947368421,0.0
Defense_aries-trikala,andreas-christodoulou-1,2.0,0.3057644110275689,0.05012531328320802,0.05012531328320802,0.0,0.0
Defense_aries-trikala,michalis-kamperidis-1,2.0,0.2700534759358289,0.2379679144385027,0.045454545454545456,0.045454545454545456,0.0
Defense_aries-trikala,christopher-razis-1,2.0,0.4166666666666667,0.0,0.0,0.0,0.0
Defense_aries-trikala,ilias-theodoridis-1,2.0,0.25,0.125,0.0,0.0,0.125
Defense_aries-trikala,nick-russell-1,2.0,0.2654761904761905,0.1226190476190476,0.047619047619047616,0.0,0.023809523809523808
Defense_aries-trikala,ioannis-kouzeloglou-1,2.0,0.6764705882352942,0.2918552036199095,0.029411764705882356,0.0,0.0
Defense_aries-trikala,giorgos-tsiaras-1,2.0,0.18888888888888888,0.05555555555555555,0.0,0.0,0.0
Defense_aries-trikala,tyler-kalinoski-1,2.0,0.28944618599791017,0.2225705329153605,0.11442006269592475,0.0,0.015151515151515154
Defense_aries-trikala,dimitris-verginis-1,2.0,0.39166666666666666,0.09351851851851853,0.04351851851851852,0.0,0.05
Defense_aries-trikala,sarantis-mastrogiannopoulos-1,2.0,0.0,0.0625,0.0625,0.0,0.0
Defense_aries-trikala,diamantis-slaftsakis-1,2.0,0.4230769230769231,0.07692307692307693,0.07692307692307693,0.0,0.038461538461538464
Defense_aries-trikala,georgios-diamantakos-1,2.0,0.25,0.1,0.0,0.0,0.0
Defense_aries-trikala,vasileios-niforas-1,1.0,0.0,0.0,0.0,0.0,0.0
Defense_aries-trikala,jawad-williams-1,1.0,0.7777777777777778,0.05555555555555555,0.0,0.0,0.1111111111111111
Defense_aries-trikala,costas-vasileiadis-1,2.0,0.4347826086956522,0.08695652173913042,0.043478260869565216,0.0,0.06521739130434782
Defense_aries-trikala,michael-dixon-1,2.0,0.3596014492753623,0.14945652173913046,0.12771739130434784,0.0,0.0
Defense_aries-trikala,roko-ukic-1,2.0,0.28,0.02,0.125,0.0,0.06
Defense_aries-trikala,milan-milosevic-1,1.0,0.26666666666666666,0.06666666666666668,0.0,0.0,0.0
Defense_aries-trikala,nikola-ivanovic-1,1.0,0.24,0.16,0.12,0.0,0.08
Defense_aries-trikala,dusan-sakota-1,2.0,0.7037037037037037,0.1851851851851852,0.05555555555555555,0.0,0.018518518518518517
Defense_aries-trikala,dimitrios-mavroeidis-1,2.0,0.21786833855799376,0.1426332288401254,0.07993730407523511,0.017241379310344827,0.017241379310344827
Defense_aries-trikala,giannoulis-larentzakis-1,2.0,0.2481481481481481,0.29814814814814816,0.15555555555555556,0.0,0.0
Defense_aries-trikala,dimitrios-charitopoulos-1,2.0,0.08333333333333333,0.08333333333333333,0.04166666666666666,0.0,0.0
Defense_aries-trikala,dionysis-skoulidas-1,1.0,0.0,0.0,0.0,0.0,0.0
Defense_aries-trikala,kc-rivers-1,1.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0
Defense_aries-trikala,nikos-pappas-1,2.0,0.6746031746031746,0.09126984126984126,0.11904761904761905,0.0,0.05555555555555555
Defense_aries-trikala,nick-calathes-1,2.0,0.2596153846153846,0.15865384615384615,0.4423076923076923,0.0,0.06971153846153846
Defense_aries-trikala,chris-singleton-1,2.0,0.2932692307692308,0.12740384615384615,0.09375,0.019230769230769232,0.0889423076923077
Defense_aries-trikala,james-gist-1,1.0,0.5454545454545454,0.18181818181818185,0.0,0.09090909090909093,0.0
Defense_aries-trikala,yiannis-bouroussis-1,2.0,0.2303921568627451,0.34477124183006536,0.05718954248366012,0.05882352941176471,0.0
Defense_aries-trikala,eleftherios-bochoridis-1,2.0,0.21428571428571427,0.07142857142857142,0.03571428571428571,0.0,0.0
Defense_aries-trikala,antonis-fotsis-1,2.0,0.2589285714285714,0.14732142857142858,0.09375,0.017857142857142856,0.049107142857142856
Defense_aries-trikala,vassilis-charalampopoulos-1,2.0,0.3517156862745098,0.10049019607843138,0.04166666666666666,0.02083333333333333,0.0
Defense_aries-trikala,pat-calathes-1,1.0,0.125,0.375,0.125,0.0,0.0
Defense_aries-trikala,mckenzie-moore-1,2.0,0.11666666666666667,0.1576923076923077,0.17051282051282052,0.019230769230769232,0.05
Defense_aries-trikala,mouhammad-faye-1,2.0,0.4913793103448276,0.1879310344827586,0.05057471264367816,0.017241379310344827,0.0
Defense_aries-trikala,nikos-gikas-1,2.0,0.4296296296296296,0.18611111111111112,0.16759259259259254,0.0,0.05555555555555555
Defense_aries-trikala,angelos-tsamis-1,1.0,0.6666666666666666,0.13333333333333333,0.0,0.0,0.06666666666666668
Defense_aries-trikala,zisis-sarikopoulos-1,2.0,0.37124060150375937,0.28383458646616544,0.017857142857142856,0.0,0.017857142857142856
