defense,player,times_played,pts_per_min,trb_per_min,ast_per_min,blk_per_min,stl_per_min
Defense_aries-trikala,eric-atkins-1,2.0,0.1497326203208556,0.014705882352941175,0.1497326203208556,0.0,0.029411764705882356
Defense_aries-trikala,diamantis-slaftsakis-1,2.0,0.3055555555555556,0.3032407407407407,0.0,0.04976851851851852,0.08680555555555555
Defense_aries-trikala,terone-johnson-1,1.0,0.4615384615384616,0.07692307692307693,0.1153846153846154,0.0,0.038461538461538464
Defense_aries-trikala,rob-loe-1,2.0,0.4423076923076923,0.2451923076923077,0.07852564102564102,0.0,0.04006410256410256
Defense_aries-trikala,linos-chrysikopoulos-1,1.0,0.625,0.125,0.0625,0.0,0.0625
Defense_aries-trikala,nikola-vasojevic-1,1.0,0.25,0.0,0.0625,0.0,0.0
Defense_aries-trikala,guy-marc-michel-1,2.0,0.15606060606060607,0.4151515151515152,0.13484848484848486,0.03333333333333333,0.0
Defense_aries-trikala,thodoris-zaras-1,2.0,0.4563492063492064,0.03571428571428571,0.018518518518518517,0.0,0.0
Defense_aries-trikala,rod-odom-1,2.0,0.3442982456140351,0.25,0.02631578947368421,0.0,0.05263157894736842
Defense_aries-trikala,giannis-georgalis-1,2.0,0.125,0.27083333333333337,0.0,0.08333333333333333,0.04166666666666666
Defense_aries-trikala,alexandros-spyridonidis-1,1.0,0.0,0.0,0.0,0.0,0.0
Defense_aries-trikala,nikos-angelopoulos-1,2.0,0.2295552367288379,0.14921090387374464,0.012195121951219513,0.029411764705882356,0.024390243902439025
Defense_aries-trikala,andreas-kanonidis-1,2.0,0.3272727272727273,0.125,0.07045454545454546,0.0,0.0
Defense_aries-trikala,darrius-garrett-1,1.0,0.34375,0.125,0.0,0.03125,0.03125
Defense_aries-trikala,rob-lowery-1,1.0,0.696969696969697,0.21212121212121213,0.060606060606060615,0.0,0.060606060606060615
Defense_aries-trikala,josh-magette-1,2.0,0.20892494929006086,0.14249492900608518,0.2383367139959432,0.014705882352941175,0.03448275862068965
Defense_aries-trikala,sasa-vasiljevic-1,2.0,0.3308823529411765,0.10882352941176472,0.1970588235294118,0.0,0.0
Defense_aries-trikala,michail-giannakidis-1,2.0,0.4285714285714286,0.16596638655462184,0.03571428571428571,0.0,0.0
Defense_aries-trikala,fedor-dmitriev-1,1.0,0.13333333333333333,0.13333333333333333,0.06666666666666668,0.0,0.0
Defense_aries-trikala,giorgos-galiotos-1,1.0,0.0,0.5,0.0,0.0,0.0
Defense_aries-trikala,dwayne-davis-1,2.0,0.5055555555555555,0.2777777777777778,0.07777777777777778,0.0,0.016666666666666666
Defense_aries-trikala,georgios-papapetrou-1,1.0,0.0,0.0,0.0,0.0,0.0
Defense_aries-trikala,zisis-sarikopoulos-1,2.0,0.3833333333333333,0.2619047619047619,0.03571428571428571,0.052380952380952375,0.03333333333333333
Defense_aries-trikala,dusan-sakota-1,2.0,0.5634920634920635,0.1468253968253968,0.23544973544973544,0.05423280423280423,0.05357142857142857
Defense_aries-trikala,milan-milosevic-1,2.0,0.20833333333333331,0.29166666666666663,0.0,0.0,0.04166666666666666
Defense_aries-trikala,leonidas-kaselakis-1,2.0,0.18285714285714288,0.18285714285714288,0.02,0.02,0.0
Defense_aries-trikala,epameinondas-papantoniou-1,2.0,0.0,0.0,0.1,0.0,0.0
Defense_aries-trikala,michalis-polytarchou-1,1.0,0.6666666666666666,0.0,0.0,0.0,0.0
Defense_aries-trikala,garrett-williamson-1,1.0,0.24,0.16,0.0,0.04,0.0
