actual_mean_10,actual_mean_5,actual_median_10,actual_median_5,actual_null,label,linreg_mean_10,linreg_mean_5,linreg_median_10,linreg_median_5,linreg_null,rf_mean_10,rf_mean_5,rf_median_10,rf_median_5,rf_null
0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,Defense_roma_julyan-stone-1,0.32943516818292984,0.32943516818292984,0.3189947550112745,0.32943516818292984,0.31625612109125945,0.3132932551920755,0.281382809476819,0.28786496396470823,0.19958308190431606,0.3216033402608355
0.4736467236467236,0.4736467236467236,0.4736467236467236,0.4736467236467236,0.4736467236467236,Defense_roma_bernardo-musso-1,0.34003543983377393,0.34003543983377393,0.34120039294231774,0.34003543983377393,0.34229729252039576,0.28606688274416064,0.20095502168082816,0.2836045205114478,0.3023855269773226,0.273725395548151
0.0,0.0,0.0,0.0,0.0,Defense_roma_nicolo-basile-1,0.2001345131542991,0.2001345131542991,0.20282674685875093,0.2001345131542991,0.19827684942509768,0.17731809856809855,0.2669680042180042,0.19582389669154374,0.13674666999667,0.3299304029304029
0.38235294117647056,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.38235294117647056,Defense_roma_austin-freeman-1,0.3775604093619621,0.3775604093619621,0.3689519110344094,0.3775604093619621,0.3760442094436915,0.40636847443805185,0.4140138874047807,0.24857971730376643,0.3537980334081909,0.32644280407560194
0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,Defense_roma_daniele-cinciarini-1,0.36946129924075577,0.36946129924075577,0.3636815954207103,0.36946129924075577,0.3720707362388872,0.4297072831279166,0.451388615414354,0.3868895247619672,0.5261325727091856,0.41377555521938386
0.6223908918406071,0.6223908918406071,0.6223908918406071,0.6223908918406071,0.6223908918406071,Defense_roma_yakhouba-diawara-1,0.3695942759960127,0.3695942759960127,0.36287860284728346,0.3695942759960127,0.3647145036601081,0.4038198366213339,0.39650047717289094,0.4195304224936005,0.40838865139568414,0.38770097957597965
0.625,0.625,0.625,0.625,0.625,Defense_roma_junior-cadougan-1,0.264012750342799,0.264012750342799,0.26007196911888814,0.264012750342799,0.25837129095018063,0.16420447831738155,0.21320565191888724,0.23731697127691706,0.17780007947033807,0.12429971988795516
0.3018374741200828,0.3018374741200828,0.3018374741200828,0.3018374741200828,0.3018374741200828,Defense_strasbourg_sharrod-ford-1,0.39502458740510515,0.39502458740510515,0.4021791438949661,0.39502458740510515,0.39802407276946317,0.24837315889482584,0.4552144385554396,0.4144708015911852,0.40796801903274355,0.4829092344289897
0.36950146627565983,0.36950146627565983,0.36950146627565983,0.36950146627565983,0.36950146627565983,Defense_strasbourg_david-lighty-1,0.3427011672620772,0.3427011672620772,0.35211295383502766,0.3427011672620772,0.34809240428028876,0.4270139556555702,0.4310791920009394,0.33633481292629286,0.36748050362783063,0.4623573784243026
0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,Defense_strasbourg_georgi-joseph-1,0.23380302328431907,0.23380302328431907,0.22735738776938116,0.23380302328431907,0.2354731216913285,0.2884909861380449,0.2600446060899436,0.2195522123610359,0.2462428727881314,0.21648745519713258
0.0,0.0,0.0,0.0,0.0,Defense_strasbourg_arthur-rozenfeld-1,0.23698237932369431,0.23698237932369431,0.24230662313919032,0.23698237932369431,0.2392985800432329,0.181993006993007,0.15771929824561404,0.259216967243283,0.2823638995413189,0.18
2.0,2.0,2.0,2.0,2.0,Defense_strasbourg_alexis-thomas-1,0.170281677656009,0.170281677656009,0.17007074257380134,0.170281677656009,0.1744487009835206,0.1,0.08888888888888888,0.06666666666666667,0.16666666666666666,0.1
0.2194940476190476,0.2194940476190476,0.2194940476190476,0.2194940476190476,0.2194940476190476,Defense_strasbourg_yannick-bokolo-1,0.2596402543828186,0.2596402543828186,0.270083548216427,0.2596402543828186,0.263531437737145,0.32053188681067,0.20364953038463884,0.20673292697381057,0.27095266562504156,0.2102011451809839
0.29377880184331795,0.29377880184331795,0.29377880184331795,0.29377880184331795,0.29377880184331795,Defense_strasbourg_antywane-robinson-1,0.3972126930224831,0.3972126930224831,0.4094062766700618,0.3972126930224831,0.40113800900306607,0.4080011794392765,0.41990809900039106,0.46322077194785294,0.34136876232143637,0.3771588237184212
0.39130434782608703,0.39130434782608703,0.39130434782608703,0.39130434782608703,0.39130434782608703,Defense_strasbourg_david-denave-1,0.3437117185780472,0.3437117185780472,0.3527663108287543,0.3437117185780472,0.35017167813556493,0.36746295680409724,0.39588572716126896,0.3485708310183451,0.3652947281476693,0.2100568312524834
0.3290322580645161,0.3290322580645161,0.3290322580645161,0.3290322580645161,0.3290322580645161,Defense_strasbourg_kyle-mcalarney-1,0.3470837885583685,0.3470837885583685,0.35395374779596644,0.3470837885583685,0.34731130212793315,0.3028409943188682,0.31897117216625226,0.3125886939984036,0.2658316912415966,0.31339287229620316
0.2483333333333333,0.2483333333333333,0.2483333333333333,0.2483333333333333,0.2483333333333333,Defense_strasbourg_david-noel-1,0.341331016140747,0.341331016140747,0.3511748759363653,0.341331016140747,0.3451181819900122,0.314293234251129,0.3000765064838483,0.34806801437744633,0.2777304135066385,0.2296807861900741
0.2095238095238096,0.2095238095238096,0.2095238095238096,0.2095238095238096,0.2095238095238096,Defense_strasbourg_devin-booker-1,0.4022434395882436,0.4022434395882436,0.3974349561642057,0.4022434395882436,0.3947319431418379,0.4286597617781829,0.4913743756981189,0.3671056133751603,0.41774875861862676,0.3382086592202301
0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,Defense_strasbourg_gedeon-pitard-1,0.24526212149973525,0.24526212149973525,0.24744408577333019,0.24526212149973525,0.24750843340793088,0.1977006826412599,0.28207885930594234,0.2496646899900401,0.28943432911174843,0.2980034982508745
0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,Defense_strasbourg_zachery-peacock-1,0.37086883248326985,0.37086883248326985,0.3868263611369225,0.37086883248326985,0.37876250002980705,0.36406314350233926,0.41791704007864394,0.38718983366969295,0.4039171403287115,0.6570152987693311
