actual_mean_10,actual_mean_5,actual_median_10,actual_median_5,actual_null,label,linreg_mean_10,linreg_mean_5,linreg_median_10,linreg_median_5,linreg_null,rf_mean_10,rf_mean_5,rf_median_10,rf_median_5,rf_null
0.0,0.0,0.0,0.0,0.0,Defense_virtus-bologna_kristjan-kangur-1,0.010766071509820962,0.010766071509820962,0.010767375553479633,0.010766071509820962,0.010766071509820962,0.018918918918918923,0.018918918918918923,0.01621621621621622,0.018918918918918923,0.018918918918918923
0.0,0.0,0.0,0.0,0.0,Defense_virtus-bologna_arturs-strautins-1,0.005542569060129048,0.005542569060129048,0.005541960929367903,0.005542569060129048,0.005542569060129048,0.003803998581871812,0.003484160681263068,0.0035174882451502977,0.0033409761047646673,0.0037719085563963756
0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,Defense_trento_melvin-ejim-1,0.011311103271525295,0.011311103271525295,0.011312606835678647,0.011311103271525295,0.011311103271525295,0.006666666666666666,0.007833333333333333,0.010333333333333335,0.009,0.0058333333333333345
0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,Defense_trento_giorgi-shermadini-1,0.02924736729075152,0.02924736729075152,0.029255436806692,0.02924736729075152,0.02924736729075152,0.019215686274509803,0.019215686274509803,0.0,0.0,0.019215686274509803
0.014285714285714284,0.014285714285714284,0.014285714285714284,0.014285714285714284,0.014285714285714284,Defense_trento_drake-diener-1,0.010180990499489145,0.010180990499489145,0.010182080361771957,0.010180990499489145,0.010180990499489145,0.03927125506072874,0.020141700404858298,0.020647773279352223,0.029251012145748982,0.023987854251012148
0.0,0.0,0.0,0.0,0.0,Defense_trento_matteo-formenti-1,0.005542569060129048,0.005542569060129048,0.005541960929367903,0.005542569060129048,0.005542569060129048,0.003803998581871812,0.003484160681263068,0.0035174882451502977,0.0033409761047646673,0.0037719085563963756
0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,Defense_trento_marc-trasolini-1,0.030867431837643806,0.030867431837643806,0.03087609441274619,0.030867431837643806,0.030867431837643806,0.04275490196078431,0.05247532385170398,0.040838235294117654,0.037310954816709284,0.04275490196078432
0.0,0.0,0.0,0.0,0.0,Defense_trento_luca-lechthaler-1,0.008920249003826545,0.008920249003826545,0.008920877344809957,0.008920249003826545,0.008920249003826545,0.006249999999999999,0.008035714285714283,0.006249999999999999,0.005357142857142856,0.007142857142857141
0.0,0.0,0.0,0.0,0.0,Defense_trento_ronald-moore-1,0.007913385904957675,0.007913385904957675,0.007913645662240695,0.007913385904957675,0.007913385904957675,0.007894736842105263,0.005263157894736842,0.007894736842105263,0.007894736842105263,0.005263157894736842
0.0,0.0,0.0,0.0,0.0,Defense_trento_kristjan-kangur-1,0.010489436672811247,0.010489436672811247,0.010490639448390874,0.010489436672811247,0.010489436672811247,0.0,0.0,0.0,0.0,0.0
