player_id,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,player_name,team_id,opp_id,team_pts,opp_pts,boxscore_id,is_playoffs,team_league_id,opp_league_id,num_triangles
filippos-kalogiannidis-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Filippos Kalogiannidis,aries-trikala,aris,65,75,2016-10-08-aris,False,greek-basket-league,greek-basket-league,1661
shannon-scott-1,32.0,6.0,10.0,3.0,4.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,6.0,2.0,16.0,Shannon Scott,doxa-bc,paok,84,78,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1999
dez-wells-1,29.0,8.0,16.0,3.0,3.0,6.0,6.0,1.0,7.0,2.0,1.0,2.0,2.0,6.0,25.0,Dez Wells,doxa-bc,paok,84,78,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1342
dimitrios-tsaldaris-1,26.0,1.0,5.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,Dimitrios Tsaldaris,doxa-bc,paok,84,78,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1999
justin-robinson-1,26.0,4.0,8.0,3.0,5.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,5.0,4.0,11.0,Justin Robinson,doxa-bc,paok,84,78,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1999
christos-tapoutos-1,25.0,2.0,4.0,1.0,1.0,5.0,6.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,10.0,Christos Tapoutos,doxa-bc,paok,84,78,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1999
melsahn-basabe-1,24.0,4.0,7.0,0.0,0.0,1.0,1.0,3.0,8.0,1.0,3.0,2.0,3.0,2.0,9.0,Melsahn Basabe,doxa-bc,paok,84,78,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1829
yiorgos-georgakis-1,20.0,1.0,2.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,6.0,Yiorgos Georgakis,doxa-bc,paok,84,78,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1999
david-doblas-1,11.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,David Doblas,doxa-bc,paok,84,78,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1999
ioannis-demertzis-1,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Yiannis Demertzis,doxa-bc,paok,84,78,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1999
triantafyllos-petalotis-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Triantafyllos Petalotis,doxa-bc,paok,84,78,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1999
theofilos-rontogiannis-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Theofilos Rontogiannis,doxa-bc,paok,84,78,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,835
theodoros-ioakeimidis-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Theodoros Ioakeimidis,doxa-bc,paok,84,78,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1174
apollon-tsochlas-1,36.0,8.0,11.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,19.0,Apollon Tsochlas,paok,doxa-bc,78,84,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1988
darryl-bryant-1,33.0,5.0,12.0,0.0,1.0,3.0,6.0,0.0,1.0,2.0,1.0,0.0,2.0,6.0,13.0,Darryl Bryant,paok,doxa-bc,78,84,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1655
zanis-peiners-1,27.0,4.0,12.0,1.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,11.0,Zanis Peiners,paok,doxa-bc,78,84,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1988
keith-clanton-1,25.0,5.0,10.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,2.0,1.0,5.0,1.0,10.0,Keith Clanton,paok,doxa-bc,78,84,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1988
linos-chrysikopoulos-1,23.0,5.0,6.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,12.0,Linos Chrysikopoulos,paok,doxa-bc,78,84,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1988
jordan-sibert-1,18.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Jordan Sibert,paok,doxa-bc,78,84,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1988
andreas-glyniadakis-1,15.0,5.0,7.0,0.0,0.0,2.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,5.0,12.0,Andreas Glyniadakis,paok,doxa-bc,78,84,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1988
antonios-koniaris-1,12.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,Antonios Koniaris,paok,doxa-bc,78,84,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1988
brandon-taylor-1,11.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,Brandon Taylor,paok,doxa-bc,78,84,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1988
nenad-miljenovic-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nenad Miljenovic,paok,doxa-bc,78,84,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1988
dimitris-karamanolis-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dimitris Karamanolis,paok,doxa-bc,78,84,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1988
nikolaos-kamaras-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nikolaos Kamaras,paok,doxa-bc,78,84,2016-10-08-doxa-bc,False,greek-basket-league,greek-basket-league,1158
ken-brown-1,34.0,4.0,14.0,1.0,8.0,5.0,5.0,0.0,5.0,9.0,1.0,0.0,2.0,5.0,14.0,Ken Brown,koroivos,olympiakos,66,88,2016-10-08-koroivos,False,greek-basket-league,greek-basket-league,1869
kenny-hall-1,34.0,6.0,10.0,0.0,0.0,2.0,2.0,2.0,8.0,0.0,0.0,0.0,3.0,3.0,14.0,Kenny Hall,koroivos,olympiakos,66,88,2016-10-08-koroivos,False,greek-basket-league,greek-basket-league,2041
toddrick-gotcher-1,31.0,4.0,8.0,4.0,7.0,1.0,2.0,2.0,4.0,3.0,0.0,0.0,2.0,2.0,13.0,Toddrick Gotcher,koroivos,olympiakos,66,88,2016-10-08-koroivos,False,greek-basket-league,greek-basket-league,2041
andreja-milutinovic-1,29.0,5.0,14.0,3.0,7.0,1.0,2.0,2.0,6.0,1.0,1.0,0.0,1.0,2.0,14.0,Andreja Milutinovic,koroivos,olympiakos,66,88,2016-10-08-koroivos,False,greek-basket-league,greek-basket-league,2041
josh-ritchart-1,20.0,2.0,6.0,1.0,3.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,Josh Ritchart,koroivos,olympiakos,66,88,2016-10-08-koroivos,False,greek-basket-league,greek-basket-league,721
giannis-chatzinikolas-1,17.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Giannis Chatzinikolas,koroivos,olympiakos,66,88,2016-10-08-koroivos,False,greek-basket-league,greek-basket-league,2041
armands-berkis-1,10.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,Armands Berkis,koroivos,olympiakos,66,88,2016-10-08-koroivos,False,greek-basket-league,greek-basket-league,2041
antonios-michaloglou-1,8.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,Antonis Michaloglou,koroivos,olympiakos,66,88,2016-10-08-koroivos,False,greek-basket-league,greek-basket-league,2041
alexandros-spyridonidis-1,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Alexandros Spyridonidis,koroivos,olympiakos,66,88,2016-10-08-koroivos,False,greek-basket-league,greek-basket-league,2041
apostolos-apostolidis-1,6.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Apostolos Apostolidis,koroivos,olympiakos,66,88,2016-10-08-koroivos,False,greek-basket-league,greek-basket-league,2041
alexios-katzos-1,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Alexios Katzos,koroivos,olympiakos,66,88,2016-10-08-koroivos,False,greek-basket-league,greek-basket-league,1059
giorgos-printezis-1,24.0,2.0,7.0,1.0,3.0,5.0,6.0,2.0,7.0,1.0,0.0,0.0,1.0,4.0,10.0,Giorgos Printezis,olympiakos,koroivos,88,66,2016-10-08-koroivos,False,greek-basket-league,greek-basket-league,2048
